GeneExpression,CellViability,Treatment
8.200994174,55.3781492,Control
9.097889338,37.39227833,Control
7.26473842,43.39280977,Control
12.32694899,55.16454532,Control
11.68691135,49.33315433,Control
12.11137162,52.98781435,Control
5.897678429,53.16187582,Control
12.34587188,52.87386916,Control
11.03771327,52.81096285,Control
10.27562571,53.0972969,Control
9.874400704,52.73546555,Control
11.69032146,46.17416001,Control
7.507639216,53.53979412,Control
8.918755512,55.019753,Control
11.91030256,48.80026656,Control
11.32300935,42.11625218,Control
12.87729162,45.32365214,Control
7.210437447,55.04634419,Control
9.228913961,47.82546481,Control
5.231710126,56.33664667,Control
11.00580434,51.09485514,Control
6.536693601,53.61808028,Control
13.24643913,56.15944157,Control
14.5778176,52.91772615,Control
12.15834032,55.47287707,Control
11.4314846,44.26339126,Treatment
9.18802216,45.24624268,Treatment
7.602532131,46.34774307,Treatment
9.837908651,46.76843969,Treatment
9.075513347,43.15535765,Treatment
12.52030797,46.08234809,Treatment
7.53714993,50.3674548,Treatment
9.600599584,41.25354364,Treatment
10.0845753,57.20623513,Treatment
13.32047857,43.41224068,Treatment
9.927749855,44.01769652,Treatment
7.336531079,47.31338863,Treatment
9.75197097,43.16910702,Treatment
6.854222453,44.449661,Treatment
10.16218543,58.68498994,Treatment
11.74952222,53.30001059,Treatment
10.25753853,55.54899045,Treatment
10.99880516,49.06762283,Treatment
8.525801837,52.55996884,Treatment
9.321786119,47.00209683,Treatment
10.01177958,52.93717799,Treatment
6.184005471,43.65126679,Treatment
7.384939808,39.81204926,Treatment
8.755674664,45.62345813,Treatment
7.706843215,46.73478777,Treatment
