Gene,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
1,-0.560475647,1.224081797,-1.067823706,0.426464221,-0.694706979,0.253318514,0.379639483,-0.491031166,0.005764186,0.993503856
2,-0.230177489,0.359813827,-0.217974915,-0.295071483,-0.207917278,-0.028546755,-0.502323453,-2.309168876,0.385280401,0.54839696
3,1.558708314,0.400771451,-1.026004448,0.895125661,-1.265396352,-0.042870457,-0.333207384,1.005738524,-0.370660032,0.238731735
4,0.070508391,0.110682716,-0.728891229,0.878133488,2.168955965,1.368602284,-1.018575383,-0.709200763,0.644376549,-0.627906076
5,0.129287735,-0.555841135,-0.625039268,0.821581082,1.207961998,-0.225770986,-1.071791226,-0.688008616,-0.220486562,1.360652449
6,1.715064987,1.786913137,-1.686693311,0.688640254,-1.123108583,1.516470604,0.303528641,1.02557137,0.331781964,-0.600259587
7,0.460916206,0.497850478,0.837787044,0.553917654,-0.402884835,-1.548752804,0.448209779,-0.284773007,1.096839013,2.187332993
8,-1.265061235,-1.966617157,0.153373118,-0.061911711,-0.466655354,0.58461375,0.053004227,-1.220717712,0.435181491,1.532610626
9,-0.686852852,0.701355902,-1.138136937,-0.305962664,0.779965118,0.123854244,0.922267468,0.18130348,-0.325931586,-0.235700359
10,-0.44566197,-0.472791408,1.253814921,-0.380471001,-0.083369066,0.215941569,2.050084686,-0.138891362,1.148807618,-1.0264209
