Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Hspd1,187.0160585,-10.96854693,3.099716378,-3.538564693,0.000402309,0.076771936
Gm45651,90.55249833,-9.922195926,3.027284548,-3.27758946,0.001046975,0.151515645
Gm9540,31.37780817,-8.393254647,1.358762124,-6.177133217,6.53E-10,7.06E-07
Rab29,20.72172097,-7.794722079,3.161590492,-2.465443295,0.013684383,0.869036475
Cd1d2,14.49173216,-7.278982195,2.951765194,-2.465976023,0.013664048,0.869036475
D630033O11Rik,13.49079189,-7.1754352,2.918996241,-2.458185831,0.01396409,0.881050315
Ugt1a1,10.14412211,-6.763594737,3.910873035,-1.729433473,0.083731543,0.999842552
Zfp101,154.7895469,-6.703895669,1.886254985,-3.554077112,0.000379308,0.073099408
Gm39689,9.046416889,-6.597097895,2.064086771,-3.196133993,0.001392824,0.185689214
Lrrc24,8.622503792,-6.529040151,3.91159788,-1.669149118,0.095087831,0.999842552
Elovl3,8.263005518,-6.467102298,1.743848266,-3.708523513,0.000208471,0.046910864
Gm45928,7.608091581,-6.348388482,3.912242146,-1.62269825,0.104653926,0.999842552
Rgs14,6.995912721,-6.226154516,1.632715265,-3.813374353,0.000137082,0.037849613
Hsd3b5,6.938459606,-6.2175257,1.612052188,-3.856901002,0.000114834,0.034653945
Fbxo16,6.546510745,-6.132335952,1.62731003,-3.768388223,0.000164305,0.041805428
Pla2g2c,6.405094731,-6.100298454,3.011097106,-2.025938798,0.042771057,0.999842552
Ackr1,6.329236444,-6.082532665,3.197443122,-1.902311451,0.05713045,0.999842552
Fam184b,6.285876951,-6.07354031,2.994160733,-2.028461679,0.042513151,0.999842552
Gm12339,6.192115911,-6.050273161,2.230776518,-2.712182557,0.006684177,0.558386961
Gm26682,6.116441166,-6.033207281,3.064861587,-1.96850889,0.049009514,0.999842552
Gm16938,5.92586019,-5.988716988,1.630372909,-3.673219149,0.000239514,0.05095102
Pou5f2,5.836091823,-5.965840674,3.019675186,-1.975656422,0.048193704,0.999842552
AA792892,5.809005829,-5.960697184,3.913929253,-1.52294454,0.127772581,0.999842552
Ccdc148,5.762764429,-5.948457719,1.655357569,-3.59345789,0.000326318,0.065819944
5330416C01Rik,5.748335861,-5.943778856,3.914013685,-1.518589186,0.128865935,0.999842552
Gm8817,5.680933201,-5.926921813,3.025496081,-1.958991734,0.050113755,0.999842552
Il20rb,5.663780684,-5.924192956,3.914112673,-1.513546863,0.130140807,0.999842552
Sox21,5.637757249,-5.917832331,3.021365225,-1.958661694,0.050152419,0.999842552
Pate14,5.591882932,-5.90767208,1.81495287,-3.255000269,0.001133923,0.161103914
Lmod3,5.241129756,-5.810425351,3.914714949,-1.484252475,0.137741953,0.999842552
1700061I17Rik,5.044591908,-5.755306862,1.850961221,-3.109361123,0.001874924,0.229524899
Gm10260,331.7843992,-5.746010844,2.027689447,-2.833772623,0.004600205,0.431521406
Gm34157,5.002694195,-5.743493502,3.077256936,-1.866432873,0.061980828,0.999842552
4933407L21Rik,4.97668683,-5.735486295,3.212385962,-1.785428763,0.074191797,0.999842552
Mfrp,4.937654955,-5.726382238,3.915191315,-1.462605982,0.143575225,0.999842552
Nat1,4.798019597,-5.685098955,1.682420078,-3.379119774,0.000727183,0.114609371
Prok2,4.730449464,-5.664176883,3.095730727,-1.829673632,0.067298756,0.999842552
Rsph6a,4.733923651,-5.663476976,3.915566432,-1.446400431,0.148064921,0.999842552
Ccdc177,4.656603583,-5.638332636,1.918021565,-2.939660711,0.003285718,0.346638823
Gm33486,4.615024746,-5.628329673,3.204843397,-1.756194913,0.079055133,0.999842552
Ms4a8a,4.596986659,-5.62027081,1.719100537,-3.269308973,0.001078105,0.155442785
Tcl1b5,4.569166498,-5.612284725,1.711749988,-3.278682497,0.001042929,0.151493227
4930431P22Rik,4.564854949,-5.610969008,3.915892289,-1.43287113,0.151894669,0.999842552
Gm36193,4.559233022,-5.60932961,1.683098812,-3.332739331,0.000859955,0.131283048
Gm36193,4.559233022,-5.60932961,1.683098812,-3.332739331,0.000859955,0.131283048
